transaction_id,customer_id,date,amount,product_category
1,26,2023-01-01 00:00:00,47.17,Clothing
2,19,2023-01-01 01:00:00,73.15,Food
3,39,2023-01-01 02:00:00,72.74,Home
4,3,2023-01-01 03:00:00,84.43,Clothing
5,45,2023-01-01 04:00:00,78.03,Beauty
6,13,2023-01-01 05:00:00,324.03,Clothing
7,50,2023-01-01 06:00:00,99.12,Electronics
8,28,2023-01-01 07:00:00,179.38,Electronics
9,20,2023-01-01 08:00:00,449.43,Home
10,28,2023-01-01 09:00:00,242.24,Food
11,8,2023-01-01 10:00:00,337.1,Home
12,41,2023-01-01 11:00:00,94.44,Home
13,39,2023-01-01 12:00:00,104.22,Home
14,1,2023-01-01 13:00:00,30.03,Home
15,3,2023-01-01 14:00:00,92.78,Beauty
16,13,2023-01-01 15:00:00,146.51,Beauty
17,28,2023-01-01 16:00:00,96.74,Clothing
18,49,2023-01-01 17:00:00,53.46,Electronics
19,25,2023-01-01 18:00:00,69.11,Home
20,33,2023-01-01 19:00:00,235.78,Clothing
21,38,2023-01-01 20:00:00,111.1,Electronics
22,6,2023-01-01 21:00:00,188.49,Food
23,44,2023-01-01 22:00:00,256.67,Beauty
24,45,2023-01-01 23:00:00,348.29,Electronics
25,32,2023-01-02 00:00:00,29.26,Food
26,45,2023-01-02 01:00:00,401.71,Electronics
27,47,2023-01-02 02:00:00,317.67,Beauty
28,21,2023-01-02 03:00:00,50.06,Beauty
29,16,2023-01-02 04:00:00,438.05,Clothing
30,21,2023-01-02 05:00:00,461.23,Home
31,11,2023-01-02 06:00:00,39.93,Electronics
32,37,2023-01-02 07:00:00,145.67,Electronics
33,36,2023-01-02 08:00:00,405.04,Food
34,35,2023-01-02 09:00:00,376.65,Beauty
35,19,2023-01-02 10:00:00,100.42,Electronics
36,20,2023-01-02 11:00:00,112.58,Beauty
37,18,2023-01-02 12:00:00,191.53,Electronics
38,47,2023-01-02 13:00:00,247.42,Clothing
39,41,2023-01-02 14:00:00,312.94,Home
40,49,2023-01-02 15:00:00,190.77,Electronics
41,14,2023-01-02 16:00:00,236.64,Beauty
42,15,2023-01-02 17:00:00,376.26,Clothing
43,31,2023-01-02 18:00:00,27.97,Electronics
44,1,2023-01-02 19:00:00,133.69,Food
45,3,2023-01-02 20:00:00,359.54,Home
46,16,2023-01-02 21:00:00,448.65,Electronics
47,23,2023-01-02 22:00:00,260.72,Clothing
48,11,2023-01-02 23:00:00,270.74,Food
49,12,2023-01-03 00:00:00,62.51,Clothing
50,10,2023-01-03 01:00:00,229.23,Clothing
51,32,2023-01-03 02:00:00,270.98,Food
52,16,2023-01-03 03:00:00,128.81,Clothing
